Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Blue	Blu<br>Molte persone non amano la combinazione tra blu e nero.<br>Many people do not like the combination of blue and black.
Purple	Viola<br>Ha un paio di scarpe viola davvero originali.<br>She has a pair of really original purple shoes.
Grey	Grigio<br>Ho i capelli completamente grigi, ormai.<br>By now my hair is completely grey.
Indigo	Indaco<br>L’indaco è uno dei colori dell’arcobaleno.<br>Indigo is one of the rainbow’s colours.
Colour	Colore<br>Dipingerò le pareti della mia camera. Devo solo decidere il colore.<br>I am going to paint the walls of my room. I just have to decide the colour.
Beige	Beige<br>Il beige non mi dona come colore.<br>Beige doesn’t fit me as a colour.
Peach	Color pesca<br>Abbiamo questa t-shirt in color pesca o prugna.<br>We have this t-shirt in peach or plum.
Record player	Giradischi<br>Mio nonno mi ha regalato questo vecchio giradischi, che era di suo padre.<br>My grandfather gave me this old record player, which belonged to his father.
News	Notizie<br>Accendi la TV! Stanno dando notizie sull’incidente.<br>Turn on the TV! They are reporting news about the accident.
Keyboard	Tastiera<br>La tastiera del mio computer ha un problema elettrico.<br>My computer keyboard has an electrical problem.
Telephone	Telefono<br>Qual è il tuo numero di telefono?<br>What is your telephone number?
Computer	Computer<br>Buongiorno, il mio computer ha bisogno di essere riparato. Mi può aiutare?<br>Good morning, my computer needs to be repaired. Can you help me?
Magazine	Rivista<br>Ho letto su questa rivista che il blu andrà molto di moda questo inverno.<br>I read in this magazine that blue will be very fashionable this winter.
Remote control	Telecomando<br>Vorrei cambiare canale, ma non trovo il telecomando.<br>I would like to change channel, but I can’t find the remote control.
Headphones	Cuffie<br>Se vuoi ascoltare la musica, mettiti le cuffie!<br>If you want to listen to music, put your headphones on!
Printer	Stampante<br>"Posso usare quella stampante?” “Si, ma cambia il toner, prima”<br>“Can I use that printer?” "Yes, but change the toner, first”
Internet	Internet<br>C’è una connessione internet qui dentro?<br>Is there an internet connection here?
Laptop	Computer portatile<br>Mi sai consigliare un buon computer portatile?<br>Can you recommend a good laptop?
Monitor	Schermo<br>Devo comprare uno schermo più grande. Il mio è troppo piccolo.<br>I have to buy a bigger monitor. Mine is too small.
Mouse	Mouse<br>Ho dimenticato il mouse a casa.<br>I forgot my mouse at home.
Computer Science	Informatica<br>Si è appena iscritto a Informatica all’Università di Bologna.<br>He has just enrolled in Computer Science at the University of Bologna.
Letter	Lettera<br>Sua mamma gli ha scritto una lettera, ma lui non ha risposto.<br>His mother wrote him a letter, but he did not answer.
DVD player	Lettore dvd<br>Ho cercato ovunque un nuovo lettore dvd, ma ormai non esistono più.<br>I searched everywhere for a new DVD player, but it doesn’t exist any longer.
Earphones	Auricolari<br>Se rispondi al cellulare mentre sei in macchina, usa gli auricolari.<br>If you answer the phone while you're in the car, use the earphones
Text message	Messaggio di testo<br>Se non riesci a chiamarmi, mandami almeno un messaggio di testo.<br>If you can’t call me, send me a text message, at least.
Search engine	Motore di ricerca<br>Grazie al motore di ricerca ho trovato quello che cercavo.<br>Thanks to the search engine I found what I was looking for.
Cellular phone	Telefono cellulare<br>Ho perso il mio telefono cellulare in mare.<br>I lost my cellular phone in the sea.
Phone number	Numero di telefono<br>Mi dai il numero di telefono dell’ospedale?<br>Can you give me the hospital phone number?
Long-distance call	Telefonata interurbana<br>Il Dott. Smith è occupato in una telefonata interurbana al momento.<br>Dr. Smith is busy on a long-distance call at the moment.
Television	Televisore<br>Accendi la televisione! Fanno vedere l’intervista a Chiara.<br>Turn on the television! They’re showing the interview with Chiara.
Surf the internet	Navigare su internet<br>Nella mia azienda non è consentito navigare su internet per scopi personali.<br>In my company you are not allowed to surf the Internet for personal purposes.
Webcam	Webcam<br>Riesco a vedere il campus di mia figlia tramite la webcam.<br>I can see my daughter’s campus via webcam.
Microphone	Microfono<br>Usa il microfono se vuoi che ti sentano tutti.<br>Use a microphone, if you want to be heard by everybody.
fi – Wi-fi	Wi<br>Al giorno d’oggi, il wi-fi gratuito è ovunque.<br>Nowadays, free wi-fi is everywhere.
Electronic key	Chiave elettronica<br>Ti serve una chiave elettronica per accedere al tuo conto bancario.<br>You need an electronic key to access your bank account.
Internet cafe	Internet point<br>C’è un internet point qui in giro?<br>Is there any internet cafes around here?
Wireless	Wireless<br>Questa città è completamente wireless.<br>This city is totally wireless.
Internet access	Accesso internet<br>Non ho alcun accesso internet al momento.<br>I don’t have any internet access at the moment.
Skype	Skype<br>È disponibile per un colloquio via Skype domani mattina alle 10.00?<br>Are you available for an interview via Skype tomorrow at 10 am?
Yahoo	Yahoo<br>Il mio browser si apre sulla pagina principale di Yahoo.<br>My browser opens on the Yahoo main page.
iPhone	iPhone<br>La prossima settimana sarà lanciato un nuovo iPhone.<br>A new iPhone will be launched next week.
Blog	Blog<br>Devo trovare un freelance che curi il mio blog.<br>I need to find a freelance who takes care of my blog.
Social networking site	Sito di social networking<br>Il numero di siti di social networking è in forte aumento.<br>The number of social networking sites is dramatically increasing.
Hotmail	Hotmail<br>Hotmail è il mio fornitore di posta elettronica.<br>Hotmail is my email provider.
Print	Stampare<br>Dove posso stampare queste foto?<br>Where can I print these photos?
Pamphlet	Dépliant<br>Sto stampando alcuni dépliant per promuovere la mia nuova scuola di lingue.<br>I am printing some pamphlets to promote my new language school.
Edit	Editare<br>Silenzio per favore! Sto cercando di editare il mio prossimo articolo.<br>Silence please! I am trying to edit my next article.
IP phone	Telefono IP<br>Nella mia azienda, la comunicazione avviene tramite telefono IP.<br>Communication takes place via IP phone in my company.
Local phone call	Chiamata locale<br>Puoi usare il mio telefono se hai bisogno di fare una chiamata locale.<br>You can use my phone if you need to make a local phone call.
Call a wrong number	Chiamare un numero sbagliato<br>Per errore ho chiamato il numero sbagliato.<br>By mistake I called a wrong number.
Dial	Comporre un numero<br>Devo comporre lo 0039 per effettuare una chiamata in Italia?<br>Should I dial 0039 to make a call to Italy?
Pick up	Alzare il ricevitore<br>Se vuoi sentirla, devi alzare il ricevitore!<br>If you want to hear from her, just pick up the phone!
Receiver	Destinatario<br>Chi è il destinatario di questo messaggio?<br>Who’s the receiver of this message?
Operator	Operatore<br>Operatore n. 2514. Come posso aiutarla?<br>Operator n. 2514. How can I help you?
VCR	Videoregistratore<br>Il mio videoregistratore si è rotto ieri. Al giorno d'oggi non ne vendono più.<br>My VCR broke down yesterday. Nowadays they aren’t sold anymore.
Write a letter	Scrivere una lettera<br>Voglio scrivere una lettera al sindaco per la spazzatura rimasta in strada.<br>I will write a letter to the Mayor about the garbage left in the street.
Express letter	Lettera prioritaria<br>È appena andata all'ufficio postale per inviare una lettera prioritaria.<br>She has just gone to the post office to send an express letter.
Certified mail	Raccomandata<br>Ieri ho ricevuto una raccomandata dal Fisco.<br>Yesterday I got a certified mail from the revenue authorities.
Express mail	Posta prioritaria<br>Ho pagato 5 euro per una posta prioritaria, ma ci sono volute 2 settimane.<br>I paid 5 euros for an express mail, but it took 2 weeks to arrive.
Audiobook	Audiolibro<br>Guidando per andare al lavoro, ascolto sempre un audiolibro.<br>Driving to work, I always listen to an audiobook.
Desktop computer	Computer da tavolo<br>Perché hai scelto un computer da tavolo invece di un laptop?<br>Why did you choose a desktop computer instead of a laptop?
DVD	DVD<br>Hai comprato un nuovo DVD? Non l'ho visto sullo scaffale prima.<br>Have you bought a new DVD? I didn’t see it on the shelf before.
CD	CD<br>C'è un lettore CD nel tuo laptop?<br>Is there a CD reader in your laptop?
Receive	Ricevere<br>Non posso ricevere messaggi quando sono all'estero.<br>I can’t receive messages when I am abroad.
Answer	Rispondere<br>Il mio capo evita sempre di rispondere alle mie e-mail.<br>My boss always avoids answering my emails
Turn on	Accendere<br>Vai ad accendere la TV! La partita è appena iniziata.<br>Turn on the TV! The match has just started.
Turn off	Spegnere<br>Prima di uscire di casa, è meglio spegnere le luci.<br>Before leaving the house, it’s better to turn off the lights.
Information	Informazione<br>Ho un'informazione su un cantante, ma non posso rivelarla.<br>I’ve a piece of information about a singer but I can’t disclose it.
Power socket	Presa di corrente<br>Il mio laptop è collegato alla presa di corrente da 2 ore.<br>My laptop has been plugged into the power socket for 2 hours.
Broadcast	Trasmettere<br>A causa del cattivo tempo, non si è potuto trasmettere il telegiornale.<br>Due to the bad weather, the newscast couldn’t be broadcast.
Transmit	Trasmettere<br>Si richiede agli studenti di trasmettere la domanda di ammissione via mail.<br>Students are asked to transmit the enrolment request by mail.
Report	Servizio<br>Ha curato un servizio circa la criminalità giovanile.<br>She took care of a report on juvenile crime.
Submit	Presentare<br>Devi presentare la tua candidatura entro oggi se vuoi ottenere quel lavoro.<br>You have to submit your application by today if you want that job.
Airmail	Posta aerea<br>Se mandi questa lettera per posta aerea arriverà prima.<br>If you send this letter by airmail it will arrive earlier.
Mail	Posta<br>Controlla la posta ogni giorno per cercare la sua lettera.<br>He checks the mail everyday to look for her letter.
Stamp on a letter	Francobollo<br>Ops! Mi sono dimenticato di mettere il francobollo sulla lettera.<br>Ops! I forgot to put the stamp on the letter.
Publish	Pubblicare<br>Chi ti ha autorizzato a pubblicare questa mia foto?<br>Who allowed you to publish this picture of mine?
Mobile phone	Telefono cellulare<br>La posso contattare sul telefono cellulare se mi dai il numero.<br>I can contact her on her mobile phone if you give me her number.
Phone	Telefonare<br>Non ha trovato il tempo di telefonare a sua mamma quando è arrivata.<br>She couldn’t find the time to phone her mother when she arrived.
Stamp	Francobollo<br>Quando eravamo giovani ho mandato diverse cartoline senza francobollo.<br>When I was young I sent many postcards without any stamps.
Router	Router<br>La scuola è dotata di un router wireless per la connessione wi-fi.<br>The school is equipped with a wireless router for the wi-fi connection.
Media	Media<br>Il mio corso di studi si focalizza sulla Comunicazione Media.<br>My course of study focuses on Media Communication.
Printing	Stampa<br>Lavora nella stampa come correttore di bozze.<br>He works in printing as a proofreader.
TV station	Emittente TV<br>Ha appena iniziato a lavorare per una emittente TV araba.<br>She just started working for an Arab TV station.
Text	Scrivere un messaggio<br>Oggigiorno si preferisce scrivere un messaggio piuttosto che telefonare.<br>Nowadays people prefer texting rather than calling.
Language	Linguaggio<br>Il linguaggio della comunicazione è sempre più asciutto e noioso.<br>The language of communication is even more dry and boring.
Language	Lingua<br>Parlare un'altra lingua è fondamentale in termini di comunicazione.<br>Speaking another language is basic in terms of communication.
Toolbar	Barra degli strumenti<br>La tua barra degli strumenti è piena di icone.<br>Your toolbar is full of icons.
Icon	Icona<br>Fai doppio click sull’icona per aprire il programma.<br>Double click on the icon to open the program.
Cursor	Cursore<br>Non so perché il cursore è scomparso.<br>I don’t know why the cursor disappeared.
Memory	Memoria<br>Il computer potrebbe smettere di funzionare se la memoria non è sufficiente.<br>Your computer may stop working if there is not enough memory.
Bug	Virus<br>Il virus nel programma ha causato il crash del computer.<br>The bug in the program caused the crash of the computer.
Chat	Chattare<br>Ha chattato con alcuni ragazzi per circa un'ora su Messenger.<br>She chatted to some guys for about an hour on Messenger.
Download	Scaricare<br>Mi aiuti a scaricare la musica sul mio computer?<br>Can you help me to download music on my computer?
Drag and drop	Trascinare e rilasciare<br>Puoi trascinare e rilasciare le icone usando il mouse.<br>You can drag and drop the icons by using the mouse.
Store	Archiviare<br>Ho deciso di archiviare i miei vecchi file in una memoria portatile.<br>I decided to store my old files in a portable memory.
Euro	Euro<br>L’Euro è la moneta usata dai paesi dell’Unione Europea.<br>Euro is the currency used by the EU countries.
Coin	Moneta<br>La carta di credito ha finalmente sostituito la moneta.<br>Credit cards have finally replaced coins.
Money	Soldi<br>Non ha molti soldi, ma è la persona più felice del mondo.<br>He does not have much money, but he is the happiest person in the world.
Cash	Contanti<br>Meglio usare i contanti o la carta di credito?<br>Is it better to use cash or the credit card?
Currency exchange	Cambio in valuta estera<br>Qual è il tasso di cambio in valuta estera?<br>What’s the currency exchange rate?
Small bill	Denaro di piccolo taglio<br>Ho solo denaro di piccolo taglio. La banca mi ha dato solo quello.<br>I only have small bills. This is what I was given by the bank.
Exchange rate	Tasso di cambio<br>Il tasso di cambio odierno è piuttosto favorevole.<br>Today’s exchange rate is rather favourable.
Japanese Yen	Yen giapponese<br>Hai pagato l’hotel in Yen giapponesi?<br>Did you pay the hotel in Japanese Yen?
British Pound	Sterlina inglese<br>Mi chiedo se la sterlina inglese sarà ancora forte in futuro.<br>I wonder whether the British Pound will be still strong in the future.
United States Dollar	Dollaro americano<br>Devo convertirlo in dollaro americano prima di pagare?<br>Should I convert it to the US dollar before paying?
Currency	Valuta<br>"Qual è la tua valuta?" "Dollaro canadese"<br>“What’s your currency?” “Canadian Dollar”
Spend money	Spendere soldi<br>Le persone non dovrebbero spendere soldi per il gioco d’azzardo.<br>People shouldn’t spend money on gambling.
Credit card	Carta di credito<br>Paga con carta di credito o in contanti?<br>Do you pay by credit card or cash?
Debit card	Carta di debito<br>Non capisco la differenza tra carta di credito e carta di debito.<br>I do not understand the difference between a credit card and a debit card.
Pay taxes	Pagare le tasse<br>Non c'è scelta, se non pagare le tasse. È un dovere sociale.<br>There is no option, but pay taxes. It is a social duty.
Tax-free	Tax free<br>È un paese tax free. A tutti piacerebbe vivere lì.<br>It’s a tax-free country. Everybody would like to live there.
Check	Assegno<br>Ho firmato l'ultimo assegno per acquistare la mia auto.<br>I signed the last check to buy my car.
Banknote	Banconota<br>Ho solo monete, nessuna banconota.<br>I have only coins, no banknotes.
Convert	Convertire<br>Qual è la valuta da convertire?<br>What’s the currency to convert?
Pay cash	Pagare con denaro<br>In alcuni paesi è meglio pagare con il denaro che con la carta di credito.<br>In some countries it’s better to pay cash than by credit card.
Prepaid card	Carta prepagata/ricaricabile<br>Faresti meglio ad usare una carta prepagata per fare acquisti online.<br>You'd better use a prepaid card to shop online.
Morning	Mattina<br>Ci sei per un caffè domani mattina?<br>Are you free for a coffee tomorrow morning?
Dinner	Cena<br>Posso invitarti a cena?<br>May I invite you for dinner?
Day	Giorno<br>“Che giorno è oggi?" “Non so. Martedì, credo”<br>"What day is it today?" "I do not know. Tuesday, I think”
Tomorrow	Domani<br>Domani non potrò venire in piscina. Devo andare al lago.<br>Tomorrow I will not be able to come to the pool. I have to go to the lake.
Yesterday	Ieri<br>Ieri ho percorso 100 km in macchina.<br>Yesterday I travelled 100 km by car.
Midnight	Mezzanotte<br>Ci vediamo a mezzanotte fuori dal cinema.<br>See you at midnight outside the cinema.
Today	Oggi<br>Sul giornale di oggi ci sono solo brutte notizie.<br>There are only bad news in today's newspaper.
Evening	Sera<br>Di sera mi piace guardare un bel film in TV.<br>In the evening I like watching a good movie on TV.
Daytime	Di giorno<br>Di giorno vado a scuola, di sera vado a lavorare.<br>I go to school at daytime, I go to work in the evening.
All day	Tutto il giorno<br>Ho pianto tutto il giorno e non so perché.<br>I cried all day and I don’t know why.
Noon	Mezzogiorno<br>Ho fatto colazione alle 10:00, ma a mezzogiorno stavo morendo di fame.<br>I had breakfast at 10 am but at noon I was starving.
Nighttime	Di notte<br>Non riesco a studiare di mattina, ma di notte.<br>I can’t study in the morning, but at nighttime.
Day before yesterday	L’altroieri<br>Non ho sue notizie dall’altroieri.<br>I haven’t heard from him since the day before yesterday.
Day after tomorrow	Dopodomani<br>Non verrà domani, ma dopodomani.<br>She is not coming tomorrow, but the day after tomorrow.
Never	Mai<br>Non bevo mai il caffè prima di andare al lavoro.<br>I never drink coffee before going to work.
Now	Adesso<br>Adesso vado a fare la doccia. Fa troppo caldo.<br>I'm going to take a shower now. It’s too hot.
Usually	Di solito<br>Di solito non esco mai a cena, ma stasera faccio una eccezione.<br>I usually never go out for dinner, but I will make an exception tonight.
From now on	D’ora in poi<br>D’ora in poi, ti occuperai della casa.<br>From now on, you will take care of the house.
Often	Spesso<br>“Vai spesso dal parrucchiere?” “Si, una volta alla settimana”<br>"Do you often go to the hairdresser?" "Yes, once a week”
Today’s	Odierno<br>L’ho letto nel giornale odierno.<br>I read it in today’s newspaper.
Wake up	Svegliar(si)<br>Durante la settimana di solito devo svegliarmi alle 6:30 del mattino.<br>During the week I usually have to wake up at 6.30 am.
Lie in bed	Stare a letto<br>A volte mi piace stare a letto per qualche minuto.<br>Sometimes I like to lie in bed for a few minutes.
Have a lie-in	Stare a letto fino a tardi<br>Il sabato sto a letto fino a tardi, fino alle 9:30.<br>On Saturdays I have a lie-in and I usually stay in bed until 9.30.
Oversleep	Dormire fino a tardi<br>Mi sento libero di dormire fino a tardi senza sentirmi in colpa.<br>I feel free to oversleep without feeling guilty.
Get up early	Alzarsi presto<br>Mia madre vuole alzarsi presto anche se non lavora in un ufficio.<br>My mum wants to get up early even if she doesn’t work in an office.
Get up late	Alzarsi tardi<br>Se ti alzi tardi, devi vestirti velocemente.<br>If you get up late, you’ll have to get dressed quickly.
Get out of bed	Uscire dal letto<br>Odio uscire dal letto in inverno! Fa così freddo.<br>I hate getting out of bed in winter! It is so cold.
Get washed	Lavarsi<br>Ogni quanto è necessario lavarsi?<br>How often is it necessary to get washed?
Have a shower	Fare la doccia<br>Di solito tendo a fare la doccia prima di andare a dormire.<br>I generally tend to have a shower before going to sleep.
Shave	Farsi la barba<br>Si sveglia prima per farsi la barba.<br>He wakes up earlier to shave.
Brush one’s teeth	Lavarsi i denti<br>Lavarsi i denti è una buona abitudine.<br>Brushing your teeth is a good habit.
Comb one’s hair	Pettinar(si) i capelli<br>Dovresti pettinar(ti) i capelli prima di andare a dormire per evitare nodi.<br>You should comb your hair before going to sleep to avoid knots.
Wash one’s hair	Lavar(si) i capelli<br>Preferisco lavar(mi) i capelli il giorno prima di un evento.<br>I prefer to wash my hair the day before an event.
Get dressed	Vestir(si)<br>Mi ci vogliono secoli per vestir(mi). Non so mai cosa indossare.<br>It takes ages to me to get dressed. I never know what to wear.
Have breakfast	Fare colazione<br>A che ora fai colazione di solito?<br>What time do you usually have breakfast?
Leave home	Uscire di casa<br>A che ora devi uscire di casa per essere in orario per la scuola?<br>What time do you leave home to be on time for school?
Go to work	Andare al lavoro<br>I Brown preferiscono andare al lavoro in auto.<br>The Browns prefer going to work by car.
Go to school	Andare a scuola<br>Hai bisogno di un passaggio per andare a scuola?<br>Do you need a lift to go to school?
Buy a newspaper	Comprare un giornale<br>Generalmente mi fermo a comprare un giornale mentre vado in ufficio.<br>I generally buy a newspaper on my way to the office.
Catch the train	Prendere il treno<br>Sbrigati se vuoi prendere il treno!<br>Hurry up if you want to catch the train!
Drive	Andare in macchina<br>Ci metto di più quando decido di andare in macchina al lavoro.<br>It takes longer when I decide to drive to work.
Cycle	Andare in bicicletta<br>Se vuoi andare in bicicletta a scuola, fai attenzione al tempo!<br>If you want to cycle to school, beware of the weather!
Walk	Andare a piedi<br>Perdo l'autobus molto spesso, quindi devo andare al lavoro a piedi.<br>I miss the bus very often, so I have to walk to work.
Have a break	Fare una pausa<br>Sei d'accordo che è ora di fare una pausa?<br>Do you agree it’s time to have a break?
Finish work	Finire di lavorare<br>Torna a casa non appena finisci di lavorare.<br>Come back home as soon as you finish work.
Finish school	Finire la scuola<br>A che ora finisce la scuola tua figlia tutti i giorni?<br>What time does your daughter finish school every day?
Go back home	Ritornare a casa<br>Non ho tempo di ritornare a casa per pranzo durante la pausa al lavoro.<br>I don’t have time to go back home for lunch during the break at work.
Get back home	Arrivare a casa<br>Se esci da scuola alle 14:00, a che ora arrivi a casa?<br>If you leave school at 2.00 pm, what time do you get back home?
Have a nap	Fare un pisolino<br>Se faccio tardi la sera prima, cerco di fare un pisolino nel pomeriggio.<br>If I have a late night, I try to have a nap in the afternoon.
Have a rest	Riposarsi<br>Mio figlio piccolo si riposa sempre nel pomeriggio all'asilo.<br>My little son has always a rest in the afternoon at the kindergarten.
Feed the dog	Dar da mangiare al cane<br>Non dimenticare di dar da mangiare al cane prima di uscire.<br>Don’t forget to feed the dog before going out.
Go out	Uscire<br>A che ora vuoi uscire?<br>What time do you want to go out?
Go for a walk	Andare a fare una passeggiata<br>Mia mamma e io amiamo andare a fare una passeggiata la domenica.<br>My mum and I love going for a walk on Sundays.
Meet one’s friends	Incontrare gli amici<br>Quante volte alla settimana puoi incontrare i tuoi amici?<br>How often can you meet your friends during the week?
Hang out with friends	Stare in giro con gli amici<br>Perché non studi invece di stare in giro con i tuoi amici?<br>Why don’t you study instead of hanging out with your friends?
Call a friend	Chiamare un amico<br>Appena finisco i miei compiti, devo chiamare un amico per controllarli.<br>As soon as I finish my homework, I have to call a friend to check them.
Go shopping	Andare a fare spese<br>Generalmente quando finisco di lavorare, devo andare a fare la spesa.<br>When I finish work, I generally have to go shopping.
Have dinner	Cenare<br>A che ora ti piace cenare di solito?<br>What time do you usually prefer having dinner?
Read the newspaper	Leggere il giornale<br>Vorrei avere il tempo di leggere il giornale ogni giorno.<br>I wish I had time to read the newspaper every day.
Go to bed	Andare a letto<br>Quasi tutte le sere, vado a letto verso le 22:00.<br>Most evenings, I go to bed at about 10.00 pm.
Set the alarm clock	Puntare la sveglia<br>Cosa succede se ti dimentichi di puntare la sveglia?<br>What happens if you forget to set the alarm clock?
Fall asleep	Addormentar(si)<br>Di solito sono abbastanza stanco, quindi (mi) addormento molto velocemente.<br>I am usually quite tired, so I fall asleep very quickly.
Speed limit	Limite di velocità<br>Qual è il limite di velocità in autostrada?<br>What is the speed limit on the highway?
Right	Destra<br>In Italia si guida a destra.<br>In Italy you drive on the right.
Left	Sinistra<br>Riesco a scrivere solo con la mano sinistra.<br>I can write only with my left hand.
Traffic light	Semaforo<br>Ieri sera una macchina si è schiantata contro il semaforo.<br>Yesterday evening a car crashed against the traffic light.
Highway	Autostrada<br>Attenzione al limite di velocità in autostrada!<br>Beware of the speed limit on the highway!
Directions	Indicazioni<br>Mi servono alcune indicazioni su dove andare.<br>I need a few directions on where to go.
Map	Mappa<br>Avrei bisogno di una mappa per orientarmi.<br>I need a map to orientate.
Right turn	Svolta a destra<br>Fai una svolta a destra in Via Libertà.<br>Take a right turn onto Liberty Street.
Left turn	Svolta a sinistra<br>Quindi fai una svolta a sinistra e sei arrivato.<br>Then take a left turn and you are arrived.
Stop sign	Segnale di stop<br>Al segnale di stop, non muoverti!<br>At the stop sign, don’t move!
Get in a car	Salire in macchina<br>Perché non vuoi salire in macchina?<br>Why don’t you want to get in the car?
Traffic jam	Ingorgo stradale<br>Se non fosse stato per quell’ingorgo stradale, sarei arrivata prima.<br>If it had not been for that traffic jam, I would have arrived earlier.
Licence	Patente<br>Dove hai preso la patente!<br>Where did you get your driving licence!
Overpass	Cavalcavia<br>Dopo il cavalcavia, gira a destra.<br>After the next overpass, turn right.
Turn a corner	Girare l’angolo<br>Non appena riesci a girare l’angolo, vedrai casa mia.<br>As soon as you can turn the corner, you will see my house.
Roundabout	Rotonda<br>Alla prossima rotonda, prendi la prima uscita.<br>At the next roundabout, take the first exit.
Red light	Semaforo rosso<br>Non attraversare la strada con il semaforo rosso.<br>Don’t cross the street with the red light.
Driving licence	Patente di guida<br>Alla fine ha ottenuto la patente di guida.<br>He finally got his driving licence.
East	Est<br>Il sole sorge ad est.<br>The sun rises in the east.
West	Ovest<br>Il sole tramonta a ovest.<br>The sun sets in the west.
North	Nord<br>In primavera gli uccelli migrano verso nord.<br>Birds migrate to the north in spring.
South	Sud<br>Vorrei fare un viaggio dal nord al sud Italia.<br>I would like to take a trip from the north to the south of Italy.
Intersection	Incrocio<br>Al prossimo incrocio, gira a destra.<br>At the next intersection, turn right.
Sign	Segnale<br>Devi fermarti quando vedi quel segnale.<br>When you see that sign, you must stop.
Fare	Tariffa<br>Qual è la tariffa per l’autostrada italiana?<br>What’s the fare for the Italian motorway?
Gasoline	Benzina<br>Qual è il prezzo della benzina oggi?<br>What’s the price of gasoline today?
One way	Senso unico<br>Non puoi guidare in quella direzione. È senso unico.<br>You can’t drive that direction. It’s one way.
Crossroad	Incrocio<br>Diverse auto si sono scontrate all’incrocio.<br>Several cars crashed at the crossroad.
Turn	Girare<br>Se non puoi girare, vai dritto.<br>If you can’t turn, go straight.
Park	Parcheggio<br>Trovare un parcheggio in questa città è un’impresa.<br>Finding a car park in this city is a challenge.
Side street	Strada laterale<br>Non noterai facilmente il suo negozio perché si trova in una strada laterale.<br>You won't easily notice her shop because it is in a side street.
Street corner	Angolo della strada<br>"Dov'è il cestino della spazzatura?" “All'angolo della strada”<br>“Where is the rubbish bin?” "On the street corner”
Traffic-free zone	Zona pedonale<br>Questa è una zona pedonale, quindi non puoi guidare la macchina qui.<br>This is a traffic-free zone so you can't drive your car here.
Zebra crossing	Strisce pedonali<br>Molti automobilisti non si fermano alle strisce pedonali e questo è male.<br>Many drivers don’t stop at zebra crossings and this is bad.
Dance	Ballare<br>“Vorresti ballare con me?” “Si, grazie”<br>“Would you like to dance with me?” “Yes, please”
Battery	Batteria<br>Questa radio funziona con una batteria stilo.<br>This radio works with an AA battery.
Ticket	Biglietto<br>Hai un biglietto per il concerto di domani?<br>Do you have a ticket for the concert of tomorrow?
Guitar	Chitarra<br>Suona la chitarra in una rock band locale.<br>He plays the guitar in a local rock band.
Comedy	Commedia<br>Stasera in TV c’è la mia commedia preferita. Non vedo l’ora!<br>There is my favorite comedy on TV tonight. I can’t wait!
Draw	Disegnare<br>Mi piaceva molto disegnare da piccola.<br>I really liked drawing when I was a child.
Film	Film<br>“Vai spesso al cinema?” “No, ho visto l’ultimo film 4 anni fa”<br>"Do you often go to the cinema?" "No, I saw the last film 4 years ago"
Flute	Flauto<br>Suona il flauto in una orchestra ed è bravissima.<br>She plays the flute in an orchestra and is very good.
Jazz	Jazz<br>A Perugia ogni anno si tiene il Jazz Summer Festival.<br>The Jazz Summer Festival is held every year in Perugia.
Read	Leggere<br>Vorrei leggere quel romanzo. Ha delle buone recensioni.<br>I would like to read that novel. It has good reviews.
Novel	Romanzo<br>Ha appena finito di scrivere il suo primo romanzo.<br>He has just finished writing his first novel.
Camera	Macchina fotografica<br>Hai portato la macchina fotografica? Ci sono mille attrazioni da fotografare!<br>Did you bring your camera? There are a thousand attractions to photograph!
Music	Musica<br>"Ti piace la musica italiana?” “Sì, qualche canzone, diciamo”<br>"Do you like Italian music?” "Yes, a few songs, let’s say”
Fish	Pescare<br>Domani mi alzo alle 3:00 per andare a pescare.<br>Tomorrow morning I am getting up at 3.00 am to go fishing.
Piano	Pianoforte<br>Suona il pianoforte da quando ha 6 anni.<br>She has been playing piano since she was 6.
Trumpet	Tromba<br>Suona la tromba nella banda della scuola.<br>He plays the trumpet in the school band.
Violin	Violino<br>Quando sento il suono di un violino, comincio ad emozionarmi.<br>When I hear the sound of a violin, I start feeling emotional.
Movie	Film<br>Ormai guardo solo film in streaming.<br>By now I only watch streaming movies.
Fishing	Pesca<br>Vado a pesca due volte all’anno.<br>I go fishing twice a year.
Art	Arte<br>"Sei un intenditore di arte?” “No, non molto”<br>"Are you an art connoisseur?" "No, not much"
Radio	Radio<br>Abbassa il volume della radio!<br>Turn down that radio!
Saxophone	Sassofono<br>"Che strumento suoni?” “Il sassofono, e tu?”<br>"What instrument do you play?” “The saxophone, and you?”
Video game	Videogioco<br>È così coinvolto da quel videogioco che si è dimenticato di mangiare.<br>He is so involved in that video game that he forgot to eat.
Animation	Animazione<br>Le piacciono molto i film di animazione.<br>She loves animation movies.
Documentary	Documentario<br>Sta lavorando a un nuovo documentario sull’antica Roma.<br>He is working on a new documentary on the ancient Rome.
Stage play	Rappresentazione teatrale<br>È la protagonista in una rappresentazione teatrale molto acclamata.<br>She is the main character in a highly acclaimed stage play.
Musical	Musical<br>Mi piacerebbe assistere a un musical a Londra.<br>I'd like to attend a musical in London.
Romantic comedy	Commedia romantica<br>“Stasera c’è una commedia romantica in TV” “La guarderò"<br>“Tonight there’s a romantic comedy on TV” “I will watch it”
Sing a song	Cantare una canzone<br>Hai voglia di cantare una canzone con me?<br>Do you want to sing a song with me?
